mixed,cat,date,num
,CU31,2013-01-26,
,CU31,2013-01-01,
,CU31,2013-02-25,
,CU31,2013-01-19,
,2.00E+72,2013-02-13,44.54212273
,2.00E+72,2013-01-21,44.84737724
,8H71,2013-01-03,0
,8H71,2013-02-06,0
,8H71,2013-02-21,0
,3X12,2013-01-10,
,3M41,2013-02-02,
,3M41,2013-02-15,
,3B14,2013-02-13,
,3B14,2013-02-15,
,3B14,2013-01-04,
,3B14,2013-02-01,
,3B14,2013-01-16,
,HT30,2013-01-28,100
,HT30,2013-01-24,100
,HT30,2013-02-19,100
,3N32,2013-01-16,
,3N32,2013-01-15,
,3N32,2013-02-03,
,3N32,2013-02-28,
316235,7.00E+01,2013-02-25,100.00007
510448,7.00E+01,2013-01-05,100.00007
1218400,7.00E+01,2013-02-09,100.00007
1112938,7.00E+01,2013-01-29,100.00007
,1S52,2013-01-29,73.17460192
,1S52,2013-01-22,72.6862027
,1S52,2013-01-21,72.6862027
,1S52,2013-01-13,72.6862027
,1S52,2013-01-02,73.05250212
,1S52,2013-01-13,72.67398972
,5T31,2013-02-10,
,5T31,2013-02-18,
,5T31,2013-02-21,
,5T31,2013-02-19,
,5T31,2013-02-18,
,5T31,2013-01-23,
,5T31,2013-01-01,
,3L52,2013-02-27,
,3L52,2013-02-10,
25736,KY71,2013-01-08,99.99855
,5S11,2013-02-25,
,5S11,2013-02-15,
,HS12,2013-02-16,25.67598
,HS12,2013-02-01,36.22592
,HS12,2013-02-28,30.31618
,2R11,2013-01-21,87.91369338
533,JF03,2013-03-01,66.86045616
,5S31,2013-02-18,
,5S31,2013-01-13,
,5S31,2013-01-10,
,5S31,2013-01-18,
,5S31,2013-02-11,
,5S31,2013-01-25,
,HT33,2013-02-01,0
,HT33,2013-02-16,0
,HT33,2013-02-01,0
,HT33,2013-02-02,0
,5A31,2013-02-25,
,5A31,2013-02-05,
,HZ11,2013-02-19,0
,3A57,2013-02-14,
,3A57,2013-01-06,
,3A57,2013-02-09,
,3A57,2013-01-13,
,3A57,2013-02-23,
,3A57,2013-02-12,
